seed,completed_lap,lap_time_s,wall_contacts
1,True,24.32,0
2,True,23.08,0
3,True,23.4,0
5,True,23.4,0
6,True,24.04,0
7,True,23.64,0
8,True,23.12,0
9,True,23.82,0
10,True,23.7,0
11,True,23.26,0
13,True,24.3,0
14,True,24.3,0
16,True,23.72,0
17,True,24.18,0
18,True,23.36,0
19,True,24.22,0
20,True,22.94,0
21,True,24.64,0
23,True,23.36,0
24,True,23.2,0
25,True,23.18,0
26,True,23.88,0
27,True,23.66,0
29,True,23.36,0
30,True,23.78,0
31,True,24.44,0
32,True,23.2,0
34,True,23.34,0
35,True,23.08,0
36,True,23.06,0
37,True,23.9,0
38,True,23.86,0
39,True,23.5,0
40,True,24.04,0
