# driver=heuristic_weighted_average hz=14.08 rows=12691 runs=34
# 34 training seeds, WeightedAverage controller, applied_steer after smoothing.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,0.0,0.0
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.4426,0.403
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.6204,0.683
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.6474,1.057
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.641,1.339
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.6298,1.717
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.6231,2.001
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.6035,2.38
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.5896,2.665
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.5687,3.045
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.476,3.427
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.4455,3.721
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.41,4.108
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.3843,4.398
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.3502,4.783
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.3245,5.071
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.2987,5.456
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.2646,5.743
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.231,6.127
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.2064,6.414
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.1749,6.796
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.1454,7.178
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.1317,7.464
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.1008,7.844
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.0852,8.13
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.0689,8.467
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.0588,8.676
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.0502,8.81
heuristic_weighted_average,seed1_trace_2026-08-16_17-27-56,-0.0499,8.806
