steering,ppo_car_009_bc_deterministic,ppo_car_009_bc_sampling,heuristic_weighted_average,bc_bc_balanced_v01,human_combined
-1.00000000,0.00000000,0.00123077,0.00000000,0.00000000,0.04222791
-0.95000000,0.00000000,0.00073846,0.00000000,0.00000000,0.00397620
-0.90000000,0.00000000,0.00307692,0.00000000,0.00000000,0.00382209
-0.85000000,0.00000000,0.00393846,0.00149712,0.00000000,0.00446938
-0.80000000,0.00000000,0.00861538,0.00078796,0.00000000,0.00483926
-0.75000000,0.00000000,0.00947692,0.00039398,0.00000000,0.00573313
-0.70000000,0.00000000,0.01489231,0.00425498,0.00000000,0.00690442
-0.65000000,0.00364133,0.02264615,0.00780080,0.00035868,0.00736677
-0.60000000,0.01900319,0.02498462,0.01402569,0.00932568,0.00810653
-0.55000000,0.01445152,0.02904615,0.00772201,0.01901004,0.00927781
-0.50000000,0.02401001,0.03606154,0.01315893,0.01703730,0.00943193
-0.45000000,0.06861629,0.04110769,0.06642503,0.01972740,0.01143544
-0.40000000,0.01832044,0.04800000,0.07249232,0.03586801,0.01155873
-0.35000000,0.01376878,0.06166154,0.08517847,0.03963415,0.01359307
-0.30000000,0.04164770,0.06252308,0.12694035,0.03048780,0.01461024
-0.25000000,0.17205280,0.07409231,0.10929005,0.03819943,0.01584317
-0.20000000,0.17330451,0.07889231,0.13489875,0.09379484,0.01461024
-0.15000000,0.13973600,0.07655385,0.06957687,0.09361549,0.01559658
-0.10000000,0.10104688,0.06904615,0.04475613,0.07370875,0.01608976
-0.05000000,0.07476104,0.06092308,0.04869593,0.05577475,0.01528835
0.00000000,0.02492035,0.06080000,0.04759278,0.04555237,0.58555004
0.05000000,0.03060992,0.05341538,0.02639666,0.03299857,0.01072650
0.10000000,0.03812016,0.03913846,0.01985659,0.03532999,0.01072650
0.15000000,0.01763769,0.03298462,0.02135372,0.06043759,0.01014086
0.20000000,0.00967228,0.02203077,0.01867465,0.06904591,0.00940110
0.25000000,0.00273100,0.01661538,0.01355291,0.06348637,0.01097309
0.30000000,0.00318616,0.01280000,0.01292254,0.05505739,0.00930863
0.35000000,0.00204825,0.00960000,0.01150422,0.05093257,0.00795241
0.40000000,0.00102412,0.00701538,0.01000709,0.02833572,0.00983263
0.45000000,0.00045517,0.00455385,0.00527933,0.01793400,0.00881546
0.50000000,0.00147929,0.00418462,0.00346702,0.00573888,0.00749006
0.55000000,0.00238962,0.00258462,0.00149712,0.00430416,0.00721265
0.60000000,0.00113792,0.00246154,0.00000000,0.00286944,0.00801406
0.65000000,0.00022758,0.00123077,0.00000000,0.00143472,0.00613383
0.70000000,0.00000000,0.00110769,0.00000000,0.00000000,0.00527078
0.75000000,0.00000000,0.00098462,0.00000000,0.00000000,0.00573313
0.80000000,0.00000000,0.00024615,0.00000000,0.00000000,0.00564066
0.85000000,0.00000000,0.00012308,0.00000000,0.00000000,0.00400703
0.90000000,0.00000000,0.00024615,0.00000000,0.00000000,0.00363715
0.95000000,0.00000000,0.00024615,0.00000000,0.00000000,0.00437691
1.00000000,0.00000000,0.00012308,0.00000000,0.00000000,0.03427550
