# driver=human_combined hz=14.08 rows=32443 runs=2
# Combined dataset, track1 plus track2. NOT resampled: this is the reference clock.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
human_combined,track1,0.0,1.058134e-05
human_combined,track1,0.0,7.360589e-06
human_combined,track1,0.0,3.474659e-06
human_combined,track1,0.0,0.002266764
human_combined,track1,0.0,0.1755894
human_combined,track1,0.0,0.2877277
human_combined,track1,0.0,0.38219
human_combined,track1,0.0,0.5277091
human_combined,track1,0.0,0.8138309
human_combined,track1,0.0,1.020443
human_combined,track1,0.0,1.459831
human_combined,track1,0.0,2.145293
human_combined,track1,0.0,2.820537
human_combined,track1,0.0,3.706357
human_combined,track1,0.0,4.227759
human_combined,track1,0.0,4.708716
human_combined,track1,0.0,4.929266
human_combined,track1,0.0,5.322563
human_combined,track1,0.0,5.741044
human_combined,track1,0.0,6.136401
human_combined,track1,-0.15,6.269065
human_combined,track1,0.0,6.251988
human_combined,track1,0.0,6.211358
human_combined,track1,0.0,6.161144
human_combined,track1,0.0,6.12396
human_combined,track1,-0.05,6.074337
human_combined,track1,-0.2,6.030232
human_combined,track1,-0.4,6.100145
human_combined,track1,-0.5500001,6.298484
human_combined,track1,0.0,6.664676
human_combined,track1,0.0,6.867263
human_combined,track1,0.0,6.942183
human_combined,track1,0.0,6.90229
human_combined,track1,-0.1,6.845001
human_combined,track1,-0.25,6.803756
human_combined,track1,-0.45,6.903827
human_combined,track1,-0.6000001,7.114487
human_combined,track1,0.0,7.343018
human_combined,track1,0.0,7.388205
human_combined,track1,0.0,7.332037
human_combined,track1,-0.1,7.286042
human_combined,track1,-0.3,7.208484
human_combined,track1,-0.45,7.138127
human_combined,track1,-0.6500001,7.060098
human_combined,track1,-0.8500001,7.166924
human_combined,track1,0.0,7.314744
human_combined,track1,0.0,7.441052
human_combined,track1,0.0,7.395244
human_combined,track1,0.0,7.350585
human_combined,track1,-0.15,7.286876
human_combined,track1,-0.3,7.291296
human_combined,track1,-0.5000001,7.491636
human_combined,track1,-0.6500001,7.775862
human_combined,track1,0.0,8.162703
human_combined,track1,0.0,8.345172
human_combined,track1,-0.05,8.380978
human_combined,track1,-0.2,8.3256
human_combined,track1,-0.4,8.383542
human_combined,track1,-0.5500001,8.561949
human_combined,track1,0.0,8.962423
human_combined,track1,0.0,9.266664
human_combined,track1,0.0,9.514154
human_combined,track1,0.0,9.54994
human_combined,track1,-0.15,9.472293
human_combined,track1,-0.3,9.446877
human_combined,track1,-0.5000001,9.589025
human_combined,track1,0.0,9.810208
human_combined,track1,0.0,10.04311
human_combined,track1,0.0,10.08283
human_combined,track1,0.0,10.00584
human_combined,track1,0.0,9.945413
human_combined,track1,-0.05,9.865015
human_combined,track1,-0.25,9.768167
human_combined,track1,-0.4,9.696792
human_combined,track1,-0.6000001,9.766113
human_combined,track1,0.0,9.915836
human_combined,track1,0.0,10.00544
human_combined,track1,0.0,9.95899
human_combined,track1,0.0,9.878621
human_combined,track1,0.0,9.818978
human_combined,track1,-0.15,9.754347
human_combined,track1,-0.35,9.734236
human_combined,track1,-0.5000001,9.852586
human_combined,track1,-0.7,10.16959
human_combined,track1,0.0,10.36308
human_combined,track1,0.0,10.48739
human_combined,track1,0.0,10.44475
human_combined,track1,0.0,10.36052
human_combined,track1,-0.1,10.29603
human_combined,track1,-0.3,10.18817
human_combined,track1,-0.45,10.1565
human_combined,track1,-0.6500001,10.29359
human_combined,track1,0.0,10.4901
human_combined,track1,0.0,10.62971
human_combined,track1,0.0,10.59742
human_combined,track1,0.0,10.52257
human_combined,track1,0.0,10.57796
human_combined,track1,0.0,10.85465
human_combined,track1,0.0,11.21453
human_combined,track1,0.0,11.28706
human_combined,track1,0.0,11.87313
human_combined,track1,-0.15,11.893
human_combined,track1,-0.3,11.76572
human_combined,track1,-0.5000001,11.64781
human_combined,track1,-0.6500001,11.63705
human_combined,track1,0.0,11.98823
human_combined,track1,0.0,11.28828
human_combined,track1,0.0,11.18914
human_combined,track1,0.0,11.37639
human_combined,track1,-0.2,11.39517
human_combined,track1,-0.35,11.04276
human_combined,track1,-0.5500001,11.11976
human_combined,track1,-0.7,11.09778
human_combined,track1,0.0,11.20267
human_combined,track1,0.0,11.18658
human_combined,track1,0.0,11.17806
human_combined,track1,0.0,11.11063
human_combined,track1,0.0,11.02116
human_combined,track1,0.0,10.93255
human_combined,track1,0.0,10.82263
human_combined,track1,0.0,10.77273
human_combined,track1,0.0,10.87058
human_combined,track1,0.0,11.09678
human_combined,track1,-0.2,11.75774
human_combined,track1,0.0,12.09984
human_combined,track1,0.0,12.58433
human_combined,track1,0.0,13.09589
human_combined,track1,0.0,13.33639
human_combined,track1,0.0,13.23136
human_combined,track1,0.0,13.23406
human_combined,track1,0.0,13.14274
human_combined,track1,0.0,13.07282
human_combined,track1,0.0,12.95359
human_combined,track1,-0.15,12.84899
human_combined,track1,-0.3,12.70152
human_combined,track1,-0.5000001,12.51198
human_combined,track1,-0.7,12.31885
human_combined,track1,0.0,12.2585
human_combined,track1,0.0,12.14372
human_combined,track1,0.0,12.03487
human_combined,track1,0.0,12.29963
human_combined,track1,0.0,12.22481
human_combined,track1,0.0,11.96586
human_combined,track1,0.0,11.66735
human_combined,track1,0.0,11.84276
human_combined,track1,0.0,11.74182
human_combined,track1,0.0,11.6596
human_combined,track1,0.0,11.38303
human_combined,track1,0.0,11.27892
human_combined,track1,-0.1,11.20323
human_combined,track1,-0.25,11.30281
human_combined,track1,0.0,11.15652
human_combined,track1,0.0,11.30291
human_combined,track1,0.0,11.43374
human_combined,track1,0.0,11.12297
human_combined,track1,0.0,11.34328
human_combined,track1,0.0,11.16098
human_combined,track1,-0.1,11.11252
human_combined,track1,-0.3,11.20769
human_combined,track1,0.0,11.11174
human_combined,track1,0.0,11.25405
human_combined,track1,0.0,11.25091
human_combined,track1,0.0,11.62861
human_combined,track1,0.0,11.37823
human_combined,track1,0.0,11.28596
human_combined,track1,0.0,11.16099
human_combined,track1,0.0,11.09353
human_combined,track1,-0.15,10.99826
human_combined,track1,-0.3,10.97857
human_combined,track1,0.0,11.10928
human_combined,track1,0.0,11.13562
human_combined,track1,0.0,11.04968
human_combined,track1,0.0,10.98287
human_combined,track1,0.0,10.89455
human_combined,track1,0.0,10.80698
human_combined,track1,-0.1,10.74442
human_combined,track1,-0.25,10.75622
human_combined,track1,-0.45,10.94842
human_combined,track1,0.0,11.15602
human_combined,track1,0.0,11.25622
human_combined,track1,0.0,11.20411
human_combined,track1,0.0,11.11449
human_combined,track1,0.0,11.04738
human_combined,track1,0.0,10.95858
human_combined,track1,0.0,10.87049
human_combined,track1,0.0,10.8048
human_combined,track1,0.0,10.71795
human_combined,track1,-0.1,10.72525
human_combined,track1,-0.3,10.918
human_combined,track1,0.0,11.16335
human_combined,track1,0.0,11.16032
human_combined,track1,0.0,11.14078
human_combined,track1,0.0,11.07374
human_combined,track1,0.0,10.9847
human_combined,track1,0.0,10.89641
human_combined,track1,-0.15,10.87732
human_combined,track1,0.0,11.02286
human_combined,track1,0.0,11.1159
human_combined,track1,0.0,11.06293
human_combined,track1,0.0,10.99607
human_combined,track1,0.0,10.90766
human_combined,track1,0.0,10.84183
human_combined,track1,-0.1,10.75236
human_combined,track1,-0.25,10.67039
human_combined,track1,-0.45,10.58521
human_combined,track1,-0.6000001,10.64201
human_combined,track1,0.0,10.69222
human_combined,track1,0.0,10.62092
human_combined,track1,0.0,10.55595
human_combined,track1,0.0,10.47089
human_combined,track1,0.0,10.38669
human_combined,track1,0.0,10.32395
human_combined,track1,-0.2,10.23907
human_combined,track1,-0.35,10.26355
human_combined,track1,-0.5500001,10.46161
human_combined,track1,0.0,10.55403
human_combined,track1,0.0,10.52653
human_combined,track1,0.0,10.44115
human_combined,track1,0.0,10.35712
human_combined,track1,0.0,10.29461
human_combined,track1,-0.1,10.2326
human_combined,track1,-0.3,10.32779
human_combined,track1,-0.45,10.53048
human_combined,track1,0.0,10.9688
human_combined,track1,0.0,11.29496
human_combined,track1,0.0,11.28343
human_combined,track1,0.0,11.22923
human_combined,track1,0.0,11.14108
human_combined,track1,-0.2,11.15752
human_combined,track1,-0.35,11.31982
human_combined,track1,0.0,11.68998
