# driver=ppo_car_009_bc_deterministic hz=14.08 rows=8788 runs=10
# Ten held-out seeds, selected through results/rl/trace_manifest.json.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
ppo_car_009_bc_deterministic,seed1001,0.0,0.0
ppo_car_009_bc_deterministic,seed1001,0.00826,0.00058
ppo_car_009_bc_deterministic,seed1001,0.00826,0.27963
ppo_car_009_bc_deterministic,seed1001,-0.00286,0.65447
ppo_car_009_bc_deterministic,seed1001,-0.00286,0.93156
ppo_car_009_bc_deterministic,seed1001,-0.01201,1.29992
ppo_car_009_bc_deterministic,seed1001,-0.02192,1.57445
ppo_car_009_bc_deterministic,seed1001,-0.03245,1.93819
ppo_car_009_bc_deterministic,seed1001,-0.04349,2.20915
ppo_car_009_bc_deterministic,seed1001,-0.05501,2.56756
ppo_car_009_bc_deterministic,seed1001,-0.06703,2.92271
ppo_car_009_bc_deterministic,seed1001,-0.07961,3.18715
ppo_car_009_bc_deterministic,seed1001,-0.09292,3.53637
ppo_car_009_bc_deterministic,seed1001,-0.09292,3.79564
ppo_car_009_bc_deterministic,seed1001,-0.10724,4.13864
ppo_car_009_bc_deterministic,seed1001,-0.12305,4.39341
ppo_car_009_bc_deterministic,seed1001,-0.14138,4.73007
ppo_car_009_bc_deterministic,seed1001,-0.16536,4.98035
ppo_car_009_bc_deterministic,seed1001,-0.31489,5.31702
ppo_car_009_bc_deterministic,seed1001,-0.5117,5.56818
ppo_car_009_bc_deterministic,seed1001,-0.48724,5.89048
ppo_car_009_bc_deterministic,seed1001,-0.4494,6.23939
ppo_car_009_bc_deterministic,seed1001,-0.4494,6.50593
ppo_car_009_bc_deterministic,seed1001,-0.15658,6.83303
ppo_car_009_bc_deterministic,seed1001,0.04079,7.06251
ppo_car_009_bc_deterministic,seed1001,-0.05186,7.34694
ppo_car_009_bc_deterministic,seed1001,-0.18965,7.5662
ppo_car_009_bc_deterministic,seed1001,-0.40311,7.8872
ppo_car_009_bc_deterministic,seed1001,-0.57329,8.11119
ppo_car_009_bc_deterministic,seed1001,-0.50405,8.32376
ppo_car_009_bc_deterministic,seed1001,-0.42383,8.51128
ppo_car_009_bc_deterministic,seed1001,-0.42383,8.62916
ppo_car_009_bc_deterministic,seed1001,-0.42453,8.75254
ppo_car_009_bc_deterministic,seed1001,-0.42712,8.82509
ppo_car_009_bc_deterministic,seed1001,-0.42204,8.90252
ppo_car_009_bc_deterministic,seed1001,-0.41591,8.94933
ppo_car_009_bc_deterministic,seed1001,-0.40912,9.0008
ppo_car_009_bc_deterministic,seed1001,-0.40029,9.03298
ppo_car_009_bc_deterministic,seed1001,-0.46024,9.06872
ppo_car_009_bc_deterministic,seed1001,-0.47667,9.08126
ppo_car_009_bc_deterministic,seed1001,-0.44849,9.09714
ppo_car_009_bc_deterministic,seed1001,-0.43373,9.11308
ppo_car_009_bc_deterministic,seed1001,-0.4314,9.12299
ppo_car_009_bc_deterministic,seed1001,-0.42917,9.134
ppo_car_009_bc_deterministic,seed1001,-0.42548,9.14095
ppo_car_009_bc_deterministic,seed1001,-0.42117,9.14907
ppo_car_009_bc_deterministic,seed1001,-0.4163,9.15468
ppo_car_009_bc_deterministic,seed1001,-0.4163,9.16194
ppo_car_009_bc_deterministic,seed1001,-0.41039,9.1672
ppo_car_009_bc_deterministic,seed1001,-0.40209,9.17481
ppo_car_009_bc_deterministic,seed1001,-0.39238,9.18302
ppo_car_009_bc_deterministic,seed1001,-0.1969,9.20159
ppo_car_009_bc_deterministic,seed1001,-0.11472,9.25351
ppo_car_009_bc_deterministic,seed1001,-0.24718,9.30025
ppo_car_009_bc_deterministic,seed1001,-0.54101,9.32027
ppo_car_009_bc_deterministic,seed1001,-0.59249,9.27944
ppo_car_009_bc_deterministic,seed1001,-0.45242,9.24413
ppo_car_009_bc_deterministic,seed1001,-0.44746,9.2387
ppo_car_009_bc_deterministic,seed1001,-0.43235,9.23132
ppo_car_009_bc_deterministic,seed1001,-0.16158,9.24246
ppo_car_009_bc_deterministic,seed1001,-0.05978,9.27359
ppo_car_009_bc_deterministic,seed1001,-0.21078,9.32704
ppo_car_009_bc_deterministic,seed1001,-0.24302,9.35845
ppo_car_009_bc_deterministic,seed1001,-0.29331,9.39106
ppo_car_009_bc_deterministic,seed1001,-0.25529,9.40741
ppo_car_009_bc_deterministic,seed1001,-0.24696,9.43216
ppo_car_009_bc_deterministic,seed1001,-0.24696,9.44894
ppo_car_009_bc_deterministic,seed1001,-0.2486,9.46754
ppo_car_009_bc_deterministic,seed1001,-0.2447,9.47954
ppo_car_009_bc_deterministic,seed1001,-0.23729,9.49404
ppo_car_009_bc_deterministic,seed1001,-0.22842,9.50769
ppo_car_009_bc_deterministic,seed1001,-0.21775,9.51771
ppo_car_009_bc_deterministic,seed1001,-0.205,9.53151
