# driver=ppo_car_009_bc_s7_deterministic hz=14.08 rows=8824 runs=10
# Ten held-out seeds, selected through results/rl/trace_manifest.json.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
ppo_car_009_bc_s7_deterministic,seed1001,0.0,0.0
ppo_car_009_bc_s7_deterministic,seed1001,0.0,0.00053
ppo_car_009_bc_s7_deterministic,seed1001,0.0,0.00052
ppo_car_009_bc_s7_deterministic,seed1001,-0.00318,0.20037
ppo_car_009_bc_s7_deterministic,seed1001,-0.00345,0.47857
ppo_car_009_bc_s7_deterministic,seed1001,-0.00416,0.86786
ppo_car_009_bc_s7_deterministic,seed1001,-0.00712,1.15692
ppo_car_009_bc_s7_deterministic,seed1001,-0.00712,1.54226
ppo_car_009_bc_s7_deterministic,seed1001,-0.01354,1.83116
ppo_car_009_bc_s7_deterministic,seed1001,-0.03522,2.2161
ppo_car_009_bc_s7_deterministic,seed1001,-0.05206,2.59875
ppo_car_009_bc_s7_deterministic,seed1001,-0.0702,2.88076
ppo_car_009_bc_s7_deterministic,seed1001,-0.08886,3.24727
ppo_car_009_bc_s7_deterministic,seed1001,-0.08886,3.51533
ppo_car_009_bc_s7_deterministic,seed1001,-0.1074,3.86624
ppo_car_009_bc_s7_deterministic,seed1001,-0.12526,4.12383
ppo_car_009_bc_s7_deterministic,seed1001,-0.14217,4.46088
ppo_car_009_bc_s7_deterministic,seed1001,-0.15831,4.71092
ppo_car_009_bc_s7_deterministic,seed1001,-0.17559,5.03649
ppo_car_009_bc_s7_deterministic,seed1001,-0.20072,5.27765
ppo_car_009_bc_s7_deterministic,seed1001,-0.26487,5.59856
ppo_car_009_bc_s7_deterministic,seed1001,-0.35982,5.96456
ppo_car_009_bc_s7_deterministic,seed1001,-0.35982,6.23903
ppo_car_009_bc_s7_deterministic,seed1001,-0.33355,6.61244
ppo_car_009_bc_s7_deterministic,seed1001,-0.30941,6.89571
ppo_car_009_bc_s7_deterministic,seed1001,-0.29095,7.27284
