# driver=ppo_car_009_bc_sampling hz=14.08 rows=8125 runs=10
# Ten held-out seeds, selected through results/rl/trace_manifest.json.
# Steering resampled to hz by nearest sample. Difference WITHIN a run, never across runs.
driver,run,steering,speed
ppo_car_009_bc_sampling,seed1001,0.0,0.0
ppo_car_009_bc_sampling,seed1001,-0.38136,0.00052
ppo_car_009_bc_sampling,seed1001,-0.38136,0.20511
ppo_car_009_bc_sampling,seed1001,-0.39844,0.52173
ppo_car_009_bc_sampling,seed1001,-0.25825,0.79924
ppo_car_009_bc_sampling,seed1001,-0.1428,1.09507
ppo_car_009_bc_sampling,seed1001,-0.1428,1.23878
ppo_car_009_bc_sampling,seed1001,0.17214,1.52781
ppo_car_009_bc_sampling,seed1001,-0.23655,1.78394
ppo_car_009_bc_sampling,seed1001,0.07504,2.11363
ppo_car_009_bc_sampling,seed1001,-0.22581,2.4518
ppo_car_009_bc_sampling,seed1001,-0.45408,2.71468
ppo_car_009_bc_sampling,seed1001,-0.21917,2.96552
ppo_car_009_bc_sampling,seed1001,-0.03091,3.13193
ppo_car_009_bc_sampling,seed1001,0.1056,3.49327
ppo_car_009_bc_sampling,seed1001,0.17179,3.71336
ppo_car_009_bc_sampling,seed1001,0.16135,3.99444
ppo_car_009_bc_sampling,seed1001,0.23904,4.23158
ppo_car_009_bc_sampling,seed1001,0.18433,4.59678
ppo_car_009_bc_sampling,seed1001,-0.02051,4.88561
ppo_car_009_bc_sampling,seed1001,-0.32189,5.25761
ppo_car_009_bc_sampling,seed1001,-0.61657,5.58146
ppo_car_009_bc_sampling,seed1001,-0.79212,5.79552
ppo_car_009_bc_sampling,seed1001,-0.68751,6.06696
ppo_car_009_bc_sampling,seed1001,-0.58782,6.29023
ppo_car_009_bc_sampling,seed1001,-0.7441,6.51273
ppo_car_009_bc_sampling,seed1001,-0.53473,6.7743
ppo_car_009_bc_sampling,seed1001,-0.22934,7.14296
ppo_car_009_bc_sampling,seed1001,-0.0204,7.37968
ppo_car_009_bc_sampling,seed1001,-0.09007,7.62449
ppo_car_009_bc_sampling,seed1001,-0.26452,7.80069
ppo_car_009_bc_sampling,seed1001,-0.09698,7.91216
ppo_car_009_bc_sampling,seed1001,-0.04104,8.13113
ppo_car_009_bc_sampling,seed1001,-0.07674,8.35584
ppo_car_009_bc_sampling,seed1001,-0.15854,8.41036
ppo_car_009_bc_sampling,seed1001,-0.30165,8.61369
ppo_car_009_bc_sampling,seed1001,-0.58529,8.70648
ppo_car_009_bc_sampling,seed1001,-0.35502,8.77394
ppo_car_009_bc_sampling,seed1001,-0.56148,8.89271
ppo_car_009_bc_sampling,seed1001,-0.46416,8.93508
