t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,traction,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00000,0.0,1.0000,1.0000,0.0000,0.5000,0.0000,0.000,unity
0.0400,0.00000,1.0000,0.0000,0.00000,0.00000,0.00000,525.0,1.0000,1.0000,0.0000,0.4985,0.0000,0.000,unity
0.0600,0.00000,1.0000,0.0000,0.07436,0.07435,0.76913,213.6,1.0000,0.4070,0.0000,0.4965,0.0016,0.000,unity
0.0800,0.00000,1.0000,0.0000,0.12342,0.12338,0.56065,393.9,1.0000,0.7503,0.0000,0.4941,0.0041,0.000,unity
0.1000,0.00000,1.0000,0.0000,0.19358,0.19351,1.95348,0.0,1.0000,0.0000,0.0000,0.4916,0.0081,0.000,unity
0.1200,0.00000,1.0000,0.0000,0.19163,0.19154,0.27391,525.0,1.0000,1.0000,0.0000,0.4890,0.0121,0.000,unity
0.1400,0.00000,1.0000,0.0000,0.32346,0.32333,0.87533,313.6,1.0000,0.5973,0.0000,0.4865,0.0187,0.000,unity
0.1600,0.00000,1.0000,0.0000,0.39616,0.39599,1.49010,0.0,1.0000,0.0000,0.0000,0.4842,0.0269,0.000,unity
0.1800,0.00000,1.0000,0.0000,0.37063,0.37046,0.42226,525.0,1.0000,1.0000,0.0000,0.4820,0.0344,0.000,unity
0.2000,0.00000,1.0000,0.0000,0.49080,0.49060,1.26229,159.8,1.0000,0.3044,0.0000,0.4801,0.0445,0.000,unity
0.2200,0.00000,1.0000,0.0000,0.47947,0.47928,0.91328,396.2,1.0000,0.7547,0.0000,0.4784,0.0542,0.000,unity
0.2400,0.00000,1.0000,0.0000,0.50853,0.50837,2.57375,0.0,1.0000,0.0000,0.0000,0.4770,0.0644,0.000,unity
0.2600,0.00000,1.0000,0.0000,0.51967,0.51953,0.76932,525.0,1.0000,1.0000,0.0000,0.4758,0.0749,0.000,unity
0.2800,0.00000,1.0000,0.0000,0.65084,0.65071,2.52613,0.0,1.0000,0.0000,0.0000,0.4749,0.0880,0.000,unity
0.3000,0.00000,1.0000,0.0000,0.65282,0.65272,0.85556,525.0,1.0000,1.0000,0.0000,0.4741,0.1011,0.000,unity
0.3200,0.00000,1.0000,0.0000,0.77986,0.77978,0.24675,525.0,1.0000,1.0000,0.0000,0.4735,0.1169,0.000,unity
