t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,1.64159,1.64159,1.64133,0.0,1.0000,-16.6919,0.4741,23.1615,252.439,unity
0.0400,0.00000,0.0000,0.0000,1.64137,1.64137,1.64111,0.0,1.0000,-16.7232,0.4741,23.1516,252.439,unity
0.0600,0.00000,0.0000,0.0000,1.64115,1.64115,1.64089,0.0,1.0000,-16.7545,0.4741,23.1417,252.439,unity
0.0800,0.00000,0.0000,0.0000,1.64094,1.64094,1.64068,0.0,1.0000,-16.7857,0.4741,23.1318,252.439,unity
0.1000,0.00000,0.0000,0.0000,1.64072,1.64072,1.64046,0.0,1.0000,-16.8170,0.4741,23.1219,252.439,unity
0.1200,0.00000,0.0000,0.0000,1.64050,1.64050,1.64025,0.0,1.0000,-16.8483,0.4741,23.1120,252.439,unity
0.1400,0.00000,0.0000,0.0000,1.64029,1.64029,1.64003,0.0,1.0000,-16.8796,0.4741,23.1021,252.439,unity
0.1600,0.00000,0.0000,0.0000,1.64007,1.64007,1.63981,0.0,1.0000,-16.9109,0.4741,23.0922,252.439,unity
0.1800,0.00000,0.0000,0.0000,1.63986,1.63986,1.63960,0.0,1.0000,-16.9421,0.4741,23.0823,252.439,unity
0.2000,0.00000,0.0000,0.0000,1.63964,1.63964,1.63938,0.0,1.0000,-16.9734,0.4741,23.0724,252.439,unity
0.2200,0.00000,0.0000,0.0000,1.63942,1.63942,1.63917,0.0,1.0000,-17.0047,0.4741,23.0625,252.439,unity
0.2400,0.00000,0.0000,0.0000,1.63921,1.63921,1.63895,0.0,1.0000,-17.0359,0.4741,23.0526,252.439,unity
0.2600,0.00000,0.0000,0.0000,1.63899,1.63899,1.63873,0.0,1.0000,-17.0672,0.4741,23.0427,252.439,unity
0.2800,0.00000,0.0000,0.0000,1.63878,1.63878,1.63852,0.0,1.0000,-17.0984,0.4741,23.0328,252.439,unity
0.3000,0.00000,0.0000,0.0000,1.63856,1.63856,1.63830,0.0,1.0000,-17.1297,0.4741,23.0230,252.439,unity
0.3200,0.00000,0.0000,0.0000,1.63835,1.63835,1.63809,0.0,1.0000,-17.1609,0.4741,23.0131,252.439,unity
0.3400,0.00000,0.0000,0.0000,1.63813,1.63813,1.63787,0.0,1.0000,-17.1921,0.4741,23.0032,252.439,unity
0.3600,0.00000,0.0000,0.0000,1.63791,1.63791,1.63766,0.0,1.0000,-17.2234,0.4741,22.9933,252.439,unity
0.3800,0.00000,0.0000,0.0000,1.63770,1.63770,1.63744,0.0,1.0000,-17.2546,0.4741,22.9834,252.439,unity
0.4000,0.00000,0.0000,0.0000,1.63748,1.63748,1.63722,0.0,1.0000,-17.2858,0.4741,22.9735,252.439,unity
0.4200,0.00000,0.0000,0.0000,1.63727,1.63727,1.63701,0.0,1.0000,-17.3170,0.4741,22.9637,252.439,unity
0.4400,0.00000,0.0000,0.0000,1.63705,1.63705,1.63679,0.0,1.0000,-17.3482,0.4741,22.9538,252.439,unity
