run,timestamp,condition,at_second,detail
40,2026-08-08_12-53-05,IdleDrift,0.16,"drifted 0,110 m in 0,1 s with no input"
40,2026-08-08_12-53-06,FellThrough,1.44,"car dropped below the world, fall reset #1"
41,2026-08-08_12-54-17,IdleDrift,0.16,"drifted 0,110 m in 0,1 s with no input"
41,2026-08-08_12-54-18,FellThrough,1.44,"car dropped below the world, fall reset #1"
42,2026-08-08_13-17-42,IdleDrift,0.16,"drifted 0,110 m in 0,1 s with no input"
42,2026-08-08_13-17-43,FellThrough,1.44,"car dropped below the world, fall reset #1"
43,2026-08-08_13-20-45,IdleDrift,0.16,"drifted 0,110 m in 0,1 s with no input"
43,2026-08-08_13-20-46,FellThrough,1.44,"car dropped below the world, fall reset #1"
45,2026-08-08_13-24-39,IdleDrift,0.16,"drifted 0,110 m in 0,1 s with no input"
45,2026-08-08_13-24-40,FellThrough,1.44,"car dropped below the world, fall reset #1"
46,2026-08-08_13-26-09,IdleDrift,0.16,"drifted 0,110 m in 0,1 s with no input"
46,2026-08-08_13-26-11,FellThrough,1.44,"car dropped below the world, fall reset #1"
47,2026-08-08_13-27-40,IdleDrift,0.16,"drifted 0,110 m in 0,1 s with no input"
47,2026-08-08_13-27-41,FellThrough,1.44,"car dropped below the world, fall reset #1"
74,2026-08-09_17-52-05,FellThrough,1.44,"car dropped below the world, fall reset #1"
74,2026-08-09_17-52-05,IdleDrift,1.58,"drifted 0.110 m in 0.1 s with no input"
80,2026-08-10_11-02-02,IdleDrift,93.34,"drifted 43.330 m in 3.7 s with no input"
84,2026-08-10_14-00-41,IdleDrift,98.26,"drifted 32.281 m in 1.5 s with no input"
85,2026-08-10_14-12-28,IdleDrift,121.99,"drifted 32.096 m in 4.8 s with no input"
91,2026-08-16_13-32-29,IdleDrift,42.46,"drifted 9.895 m in 3.4 s with no input"
96,2026-08-16_15-18-45,IdleDrift,1985.52,"drifted 11.470 m in 0.1 s with no input"
98,2026-08-16_17-26-50,IdleDrift,65.14,"drifted 9.893 m in 6.1 s with no input"
