t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.05067,0.0,1.0000,-30.7642,0.5000,-9.2514,156.600,ppo_car_spread_a_sampling
0.0400,0.00000,0.0000,0.0000,0.00241,0.00241,0.00296,0.0,1.0000,-30.7642,0.5037,-9.2515,156.600,ppo_car_spread_a_sampling
0.0600,0.00000,0.0000,0.0000,0.00240,0.00241,0.00274,0.0,1.0000,-30.7641,0.5055,-9.2515,156.601,ppo_car_spread_a_sampling
0.0800,-0.17503,0.7861,0.0000,0.00241,0.00241,0.00259,412.7,1.0000,-30.7641,0.5057,-9.2516,156.601,ppo_car_spread_a_sampling
0.1000,-0.17503,0.7861,0.0000,0.07305,0.07309,0.36337,412.7,1.0000,-30.7635,0.5048,-9.2530,156.597,ppo_car_spread_a_sampling
0.1200,-0.17503,0.7861,0.0000,0.15128,0.15136,0.43370,412.7,1.0000,-30.7621,0.5030,-9.2558,156.591,ppo_car_spread_a_sampling
0.1400,-0.17503,0.7861,0.0000,0.22574,0.22582,0.54942,412.7,1.0000,-30.7601,0.5006,-9.2600,156.582,ppo_car_spread_a_sampling
0.1600,-0.18121,0.7723,0.0000,0.30163,0.30171,0.53651,405.5,1.0000,-30.7574,0.4978,-9.2656,156.572,ppo_car_spread_a_sampling
0.1800,-0.18121,0.7723,0.0000,0.38379,0.38388,0.32577,405.5,1.0000,-30.7539,0.4948,-9.2728,156.558,ppo_car_spread_a_sampling
0.2000,-0.18121,0.7723,0.0000,0.45393,0.45402,0.66833,405.5,1.0000,-30.7499,0.4918,-9.2811,156.541,ppo_car_spread_a_sampling
0.2200,-0.18121,0.7723,0.0000,0.52642,0.52651,0.71042,405.5,1.0000,-30.7452,0.4889,-9.2908,156.522,ppo_car_spread_a_sampling
0.2400,-0.15775,0.7641,0.0000,0.60263,0.60275,0.70555,401.2,1.0000,-30.7399,0.4861,-9.3019,156.500,ppo_car_spread_a_sampling
