t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.01040,0.0,1.0000,-23.6575,0.5000,-8.3863,195.004,ppo_car_spread_a_sampling
0.0400,0.00000,0.0000,0.0000,0.00033,0.00034,0.00045,0.0,1.0000,-23.6575,0.4982,-8.3863,195.004,ppo_car_spread_a_sampling
0.0600,0.00000,0.0000,0.0000,0.00034,0.00035,0.00043,0.0,1.0000,-23.6576,0.4960,-8.3863,195.004,ppo_car_spread_a_sampling
0.0800,0.00000,0.0000,0.0000,0.00034,0.00035,0.00041,0.0,1.0000,-23.6576,0.4935,-8.3863,195.004,ppo_car_spread_a_sampling
0.1000,-0.40403,0.4549,0.0000,0.00034,0.00035,0.00040,238.8,1.0000,-23.6576,0.4909,-8.3863,195.004,ppo_car_spread_a_sampling
0.1200,-0.40403,0.4549,0.0000,0.04168,0.04182,0.28403,238.8,1.0000,-23.6577,0.4884,-8.3872,195.001,ppo_car_spread_a_sampling
0.1400,-0.26411,0.5063,0.0000,0.08639,0.08668,0.49047,265.8,1.0000,-23.6580,0.4859,-8.3890,194.992,ppo_car_spread_a_sampling
0.1600,-0.14216,0.5063,0.0000,0.14020,0.14044,0.24079,265.8,1.0000,-23.6586,0.4836,-8.3918,194.986,ppo_car_spread_a_sampling
0.1800,-0.13046,0.5063,0.0000,0.18314,0.18321,0.56740,265.8,1.0000,-23.6595,0.4815,-8.3955,194.981,ppo_car_spread_a_sampling
0.2000,-0.13046,0.5063,0.0000,0.23771,0.23774,0.24747,265.8,1.0000,-23.6606,0.4796,-8.4003,194.974,ppo_car_spread_a_sampling
0.2200,-0.07009,0.6559,0.0000,0.27987,0.27990,0.65006,344.3,1.0000,-23.6619,0.4780,-8.4059,194.965,ppo_car_spread_a_sampling
0.2400,0.01515,0.6559,0.0000,0.34253,0.34250,0.68907,344.3,1.0000,-23.6636,0.4766,-8.4127,194.956,ppo_car_spread_a_sampling
0.2600,0.08465,0.6559,0.0000,0.41107,0.41097,0.61839,344.3,1.0000,-23.6657,0.4755,-8.4208,194.955,ppo_car_spread_a_sampling
0.2800,0.15383,0.6559,0.0000,0.46874,0.46867,0.71799,344.3,1.0000,-23.6683,0.4745,-8.4300,194.960,ppo_car_spread_a_sampling
0.3000,0.07771,0.0812,0.0000,0.53223,0.53231,0.73657,42.6,1.0000,-23.6713,0.4738,-8.4404,194.972,ppo_car_spread_a_sampling
0.3200,0.00922,0.0812,0.0000,0.54082,0.54086,0.73990,42.6,1.0000,-23.6744,0.4733,-8.4509,194.982,ppo_car_spread_a_sampling
0.3400,-0.03785,0.0812,0.0000,0.54958,0.54956,0.72580,42.6,1.0000,-23.6773,0.4729,-8.4615,194.987,ppo_car_spread_a_sampling
0.3600,-0.03785,0.0812,0.0000,0.55621,0.55618,0.72139,42.6,1.0000,-23.6802,0.4726,-8.4723,194.987,ppo_car_spread_a_sampling
0.3800,0.03954,0.7330,0.0000,0.56463,0.56462,0.70401,384.8,1.0000,-23.6831,0.4725,-8.4832,194.985,ppo_car_spread_a_sampling
0.4000,0.07557,0.7330,0.0000,0.63720,0.63720,0.68555,384.8,1.0000,-23.6864,0.4724,-8.4955,194.987,ppo_car_spread_a_sampling
0.4200,0.07557,0.7330,0.0000,0.70761,0.70765,0.76597,384.8,1.0000,-23.6902,0.4725,-8.5092,194.994,ppo_car_spread_a_sampling
0.4400,0.07557,0.7330,0.0000,0.77819,0.77827,0.84400,384.8,1.0000,-23.6945,0.4725,-8.5242,195.003,ppo_car_spread_a_sampling
0.4600,-0.00030,0.5890,0.0000,0.84879,0.84890,0.92141,309.2,1.0000,-23.6992,0.4726,-8.5406,195.015,ppo_car_spread_a_sampling
0.4800,-0.06882,0.5890,0.0000,0.90595,0.90600,0.96576,309.2,1.0000,-23.7040,0.4728,-8.5582,195.021,ppo_car_spread_a_sampling
0.5000,-0.14058,0.5890,0.0000,0.96244,0.96247,1.02274,309.2,1.0000,-23.7089,0.4729,-8.5768,195.018,ppo_car_spread_a_sampling
0.5200,-0.20630,0.5890,0.0000,1.01844,1.01861,1.09102,309.2,1.0000,-23.7138,0.4731,-8.5967,195.003,ppo_car_spread_a_sampling
0.5400,-0.12655,0.5495,0.0000,1.07394,1.07444,1.15999,288.5,1.0000,-23.7187,0.4732,-8.6177,194.974,ppo_car_spread_a_sampling
0.5600,-0.05439,0.5495,0.0000,1.12704,1.12751,1.21204,288.5,1.0000,-23.7239,0.4734,-8.6396,194.944,ppo_car_spread_a_sampling
0.5800,0.01896,0.5495,0.0000,1.18019,1.18046,1.26298,288.5,1.0000,-23.7295,0.4735,-8.6626,194.921,ppo_car_spread_a_sampling
0.6000,0.05152,0.5495,0.0000,1.23304,1.23312,1.30987,288.5,1.0000,-23.7356,0.4737,-8.6865,194.910,ppo_car_spread_a_sampling
0.6200,-0.02841,0.7678,0.0000,1.28574,1.28577,1.35742,403.1,1.0000,-23.7422,0.4738,-8.7114,194.909,ppo_car_spread_a_sampling
0.6400,-0.08426,0.7678,0.0000,1.35882,1.35885,1.46483,403.1,1.0000,-23.7492,0.4739,-8.7377,194.905,ppo_car_spread_a_sampling
0.6600,-0.08426,0.7678,0.0000,1.43245,1.43254,1.55024,403.1,1.0000,-23.7563,0.4739,-8.7655,194.892,ppo_car_spread_a_sampling
0.6800,-0.08426,0.7678,0.0000,1.50619,1.50633,1.63369,403.1,1.0000,-23.7636,0.4740,-8.7947,194.874,ppo_car_spread_a_sampling
0.7000,-0.15823,0.5747,0.0000,1.57998,1.58017,1.71585,301.7,1.0000,-23.7713,0.4741,-8.8255,194.853,ppo_car_spread_a_sampling
0.7200,-0.20153,0.5747,0.0000,1.63534,1.63575,1.75306,301.7,1.0000,-23.7789,0.4741,-8.8573,194.819,ppo_car_spread_a_sampling
0.7400,-0.20153,0.5747,0.0000,1.68943,1.69019,1.81990,301.7,1.0000,-23.7865,0.4741,-8.8903,194.772,ppo_car_spread_a_sampling
0.7600,-0.20153,0.5747,0.0000,1.74394,1.74497,1.88404,301.7,1.0000,-23.7942,0.4742,-8.9243,194.715,ppo_car_spread_a_sampling
0.7800,-0.13244,0.8028,0.0000,1.79870,1.79992,1.94645,421.5,1.0000,-23.8020,0.4742,-8.9595,194.652,ppo_car_spread_a_sampling
0.8000,-0.06625,0.8028,0.0000,1.87509,1.87611,2.06642,421.5,1.0000,-23.8102,0.4742,-8.9961,194.592,ppo_car_spread_a_sampling
0.8200,-0.04328,0.8028,0.0000,1.95275,1.95339,2.14198,421.5,1.0000,-23.8190,0.4742,-9.0342,194.542,ppo_car_spread_a_sampling
0.8400,-0.04328,0.8028,0.0000,2.03023,2.03061,2.21764,421.5,1.0000,-23.8285,0.4742,-9.0737,194.503,ppo_car_spread_a_sampling
0.8600,-0.09781,0.9788,0.0000,2.10761,2.10787,2.29590,513.9,1.0000,-23.8384,0.4742,-9.1147,194.469,ppo_car_spread_a_sampling
0.8800,-0.19252,0.9788,0.0000,2.20055,2.20087,2.43608,513.9,1.0000,-23.8487,0.4742,-9.1576,194.432,ppo_car_spread_a_sampling
0.9000,-0.24534,0.9788,0.0000,2.29315,2.29387,2.55182,513.9,1.0000,-23.8590,0.4742,-9.2023,194.376,ppo_car_spread_a_sampling
0.9200,-0.33515,0.9788,0.0000,2.38494,2.38629,2.67006,513.9,1.0000,-23.8692,0.4742,-9.2490,194.298,ppo_car_spread_a_sampling
0.9400,-0.25709,0.5998,0.0000,2.47446,2.47704,2.79326,314.9,1.0000,-23.8791,0.4741,-9.2977,194.189,ppo_car_spread_a_sampling
0.9600,-0.19026,0.5998,0.0000,2.53394,2.53673,2.76989,314.9,1.0000,-23.8890,0.4741,-9.3475,194.071,ppo_car_spread_a_sampling
