t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00017,0.0,1.0000,-32.3973,0.5000,-7.6140,140.979,ppo_car_spread_a_deterministic
0.0400,0.00000,0.0000,0.0000,0.00001,0.00001,0.00001,0.0,1.0000,-32.3973,0.5037,-7.6140,140.979,ppo_car_spread_a_deterministic
0.0600,-0.08602,0.0061,0.0000,0.00001,0.00001,0.00001,0.0,1.0000,-32.3973,0.5055,-7.6140,140.979,ppo_car_spread_a_deterministic
0.0800,-0.08602,0.0061,0.0000,0.00023,0.00023,0.13232,3.2,1.0000,-32.3973,0.5057,-7.6140,140.979,ppo_car_spread_a_deterministic
0.1000,-0.08602,0.0061,0.0000,0.00320,0.00320,0.21925,3.2,1.0000,-32.3973,0.5048,-7.6140,140.979,ppo_car_spread_a_deterministic
0.1200,-0.09853,0.0284,0.0000,0.00145,0.00145,0.22226,3.2,1.0000,-32.3972,0.5030,-7.6140,140.982,ppo_car_spread_a_deterministic
0.1400,-0.09853,0.0284,0.0000,0.00702,0.00702,0.21805,14.9,1.0000,-32.3971,0.5006,-7.6142,140.983,ppo_car_spread_a_deterministic
0.1600,-0.09853,0.0284,0.0000,0.00076,0.00076,0.27859,14.9,1.0000,-32.3971,0.4978,-7.6142,140.982,ppo_car_spread_a_deterministic
0.1800,-0.09853,0.0284,0.0000,0.00858,0.00858,0.17944,14.9,1.0000,-32.3970,0.4948,-7.6143,140.984,ppo_car_spread_a_deterministic
0.2000,-0.10040,0.0300,0.0000,0.01526,0.01525,0.32071,14.9,1.0000,-32.3968,0.4918,-7.6145,140.983,ppo_car_spread_a_deterministic
0.2200,-0.10040,0.0300,0.0000,0.02080,0.02079,0.32075,15.7,1.0000,-32.3965,0.4889,-7.6149,140.985,ppo_car_spread_a_deterministic
0.2400,-0.10040,0.0300,0.0000,0.01897,0.01897,0.36894,15.7,1.0000,-32.3963,0.4862,-7.6152,140.987,ppo_car_spread_a_deterministic
0.2600,-0.10040,0.0300,0.0000,0.01671,0.01670,0.27419,15.7,1.0000,-32.3961,0.4836,-7.6154,140.988,ppo_car_spread_a_deterministic
0.2800,-0.09924,0.0123,0.0000,0.02452,0.02451,0.32667,15.7,1.0000,-32.3958,0.4813,-7.6158,140.985,ppo_car_spread_a_deterministic
0.3000,-0.09924,0.0123,0.0000,0.02272,0.02272,0.42372,6.4,1.0000,-32.3955,0.4793,-7.6162,140.984,ppo_car_spread_a_deterministic
0.3200,-0.09924,0.0123,0.0000,0.02787,0.02787,0.43404,6.4,1.0000,-32.3951,0.4776,-7.6166,140.982,ppo_car_spread_a_deterministic
0.3400,-0.09924,0.0123,0.0000,0.02941,0.02941,0.22022,6.4,1.0000,-32.3947,0.4762,-7.6170,140.983,ppo_car_spread_a_deterministic
0.3600,-0.09833,0.0048,0.0000,0.02630,0.02631,0.43029,6.4,1.0000,-32.3944,0.4750,-7.6174,140.982,ppo_car_spread_a_deterministic
0.3800,-0.09833,0.0048,0.0000,0.03102,0.03102,0.31028,2.5,1.0000,-32.3940,0.4741,-7.6179,140.979,ppo_car_spread_a_deterministic
0.4000,-0.09833,0.0048,0.0000,0.03011,0.03012,0.42510,2.5,1.0000,-32.3936,0.4734,-7.6184,140.979,ppo_car_spread_a_deterministic
0.4200,-0.09833,0.0048,0.0000,0.03498,0.03499,0.26214,2.5,1.0000,-32.3931,0.4729,-7.6189,140.977,ppo_car_spread_a_deterministic
0.4400,-0.09809,0.0020,0.0000,0.02568,0.02568,0.22591,2.5,1.0000,-32.3928,0.4725,-7.6193,140.977,ppo_car_spread_a_deterministic
0.4600,-0.09809,0.0020,0.0000,0.02967,0.02968,0.40801,1.1,1.0000,-32.3924,0.4723,-7.6197,140.980,ppo_car_spread_a_deterministic
0.4800,-0.09809,0.0020,0.0000,0.02937,0.02938,0.23818,1.1,1.0000,-32.3920,0.4722,-7.6202,140.982,ppo_car_spread_a_deterministic
0.5000,-0.09809,0.0020,0.0000,0.02831,0.02832,0.41155,1.1,1.0000,-32.3917,0.4722,-7.6206,140.986,ppo_car_spread_a_deterministic
0.5200,-0.09804,0.0020,0.0000,0.03104,0.03105,0.19508,1.1,1.0000,-32.3913,0.4723,-7.6211,140.983,ppo_car_spread_a_deterministic
0.5400,-0.09804,0.0020,0.0000,0.03207,0.03207,0.27273,1.1,1.0000,-32.3909,0.4724,-7.6216,140.983,ppo_car_spread_a_deterministic
0.5600,-0.09804,0.0020,0.0000,0.03214,0.03214,0.24088,1.1,1.0000,-32.3905,0.4725,-7.6221,140.981,ppo_car_spread_a_deterministic
0.5800,-0.09804,0.0020,0.0000,0.03659,0.03660,0.21680,1.1,1.0000,-32.3900,0.4727,-7.6226,140.981,ppo_car_spread_a_deterministic
0.6000,-0.09786,0.0006,0.0000,0.03064,0.03065,0.17246,1.1,1.0000,-32.3896,0.4729,-7.6231,140.979,ppo_car_spread_a_deterministic
0.6200,-0.09786,0.0006,0.0000,0.02691,0.02691,0.39105,0.3,1.0000,-32.3893,0.4730,-7.6235,140.978,ppo_car_spread_a_deterministic
0.6400,-0.09786,0.0006,0.0000,0.02910,0.02911,0.38871,0.3,1.0000,-32.3889,0.4732,-7.6239,140.974,ppo_car_spread_a_deterministic
0.6600,-0.09786,0.0006,0.0000,0.03364,0.03364,0.09929,0.3,1.0000,-32.3884,0.4734,-7.6244,140.975,ppo_car_spread_a_deterministic
0.6800,-0.09815,0.0041,0.0000,0.03453,0.03453,0.28412,0.3,1.0000,-32.3880,0.4735,-7.6250,140.971,ppo_car_spread_a_deterministic
0.7000,-0.09815,0.0041,0.0000,0.03524,0.03525,0.13231,2.1,1.0000,-32.3875,0.4737,-7.6255,140.969,ppo_car_spread_a_deterministic
0.7200,-0.09815,0.0041,0.0000,0.03499,0.03499,0.39566,2.1,1.0000,-32.3871,0.4738,-7.6260,140.963,ppo_car_spread_a_deterministic
0.7400,-0.09815,0.0041,0.0000,0.03180,0.03181,0.25486,2.1,1.0000,-32.3867,0.4739,-7.6265,140.963,ppo_car_spread_a_deterministic
0.7600,-0.09785,0.0000,0.0008,0.03601,0.03602,0.29277,2.1,1.0000,-32.3862,0.4740,-7.6271,140.959,ppo_car_spread_a_deterministic
0.7800,-0.09785,0.0000,0.0008,0.03411,0.03412,0.13190,-0.2,1.0000,-32.3858,0.4740,-7.6276,140.959,ppo_car_spread_a_deterministic
0.8000,-0.09785,0.0000,0.0008,0.03580,0.03581,0.27245,-0.2,1.0000,-32.3853,0.4741,-7.6281,140.955,ppo_car_spread_a_deterministic
0.8200,-0.09785,0.0000,0.0008,0.02986,0.02987,0.39083,-0.2,1.0000,-32.3849,0.4741,-7.6286,140.958,ppo_car_spread_a_deterministic
0.8400,-0.09772,0.0000,0.0020,0.02727,0.02728,0.40036,-0.2,1.0000,-32.3846,0.4742,-7.6290,140.955,ppo_car_spread_a_deterministic
0.8600,-0.09772,0.0000,0.0020,0.03269,0.03269,0.38642,-0.4,1.0000,-32.3842,0.4742,-7.6295,140.951,ppo_car_spread_a_deterministic
0.8800,-0.09772,0.0000,0.0020,0.03294,0.03295,0.18664,-0.4,1.0000,-32.3837,0.4742,-7.6300,140.950,ppo_car_spread_a_deterministic
0.9000,-0.09772,0.0000,0.0020,0.03897,0.03898,0.30164,-0.4,1.0000,-32.3832,0.4742,-7.6306,140.952,ppo_car_spread_a_deterministic
0.9200,-0.09779,0.0000,0.0006,0.03718,0.03719,0.21178,-0.4,1.0000,-32.3827,0.4742,-7.6312,140.954,ppo_car_spread_a_deterministic
0.9400,-0.09779,0.0000,0.0006,0.03700,0.03701,0.21455,-0.1,1.0000,-32.3823,0.4742,-7.6317,140.955,ppo_car_spread_a_deterministic
