t,steering,throttle,brake,speed,speed_mag,wheel_ms,motor_nm,headroom,x,y,z,yaw_deg,source
0.0200,0.00000,0.0000,0.0000,0.00000,0.00000,0.00113,0.0,1.0000,-26.7375,0.5000,-11.4447,190.856,ppo_car_spread_a_sampling
0.0400,0.00000,0.0000,0.0000,-0.00004,0.00003,0.00011,0.0,1.0000,-26.7375,0.4989,-11.4446,190.856,ppo_car_spread_a_sampling
0.0600,0.00000,0.0000,0.0000,-0.00004,0.00003,0.00010,0.0,1.0000,-26.7375,0.4972,-11.4446,190.856,ppo_car_spread_a_sampling
0.0800,0.00000,0.0000,0.0000,-0.00004,0.00004,0.00009,0.0,1.0000,-26.7375,0.4950,-11.4446,190.856,ppo_car_spread_a_sampling
0.1000,-0.18137,0.0000,0.4627,-0.00004,0.00004,0.00008,0.0,1.0000,-26.7375,0.4927,-11.4446,190.856,ppo_car_spread_a_sampling
0.1200,-0.29051,0.0000,0.4627,-0.01239,0.01239,0.37881,-97.2,1.0000,-26.7375,0.4902,-11.4444,190.855,ppo_car_spread_a_sampling
0.1400,-0.36060,0.0000,0.4627,-0.03635,0.03639,0.28777,-97.2,1.0000,-26.7374,0.4877,-11.4436,190.856,ppo_car_spread_a_sampling
0.1600,-0.32508,0.0000,0.1643,-0.05337,0.05348,0.13836,-97.2,1.0000,-26.7372,0.4854,-11.4425,190.858,ppo_car_spread_a_sampling
0.1800,-0.32508,0.0000,0.1643,-0.06044,0.06055,0.19412,-34.5,1.0000,-26.7371,0.4832,-11.4413,190.861,ppo_car_spread_a_sampling
0.2000,-0.32508,0.0000,0.1643,-0.06264,0.06278,0.45089,-34.5,1.0000,-26.7369,0.4811,-11.4400,190.862,ppo_car_spread_a_sampling
0.2200,-0.32508,0.0000,0.1643,-0.06787,0.06799,0.35668,-34.5,1.0000,-26.7368,0.4794,-11.4386,190.865,ppo_car_spread_a_sampling
0.2400,-0.40182,0.5401,0.0000,-0.08370,0.08387,0.14122,-34.5,1.0000,-26.7366,0.4778,-11.4369,190.870,ppo_car_spread_a_sampling
0.2600,-0.47041,0.5401,0.0000,-0.02465,0.02471,0.32860,283.5,1.0000,-26.7365,0.4765,-11.4365,190.873,ppo_car_spread_a_sampling
0.2800,-0.53908,0.5401,0.0000,0.02339,0.02372,0.45258,283.5,1.0000,-26.7365,0.4754,-11.4370,190.870,ppo_car_spread_a_sampling
0.3000,-0.58933,0.5401,0.0000,0.07365,0.07415,0.26440,283.5,1.0000,-26.7366,0.4745,-11.4386,190.862,ppo_car_spread_a_sampling
0.3200,-0.52625,0.0000,0.3561,0.13160,0.13273,0.20442,283.5,1.0000,-26.7368,0.4738,-11.4414,190.845,ppo_car_spread_a_sampling
0.3400,-0.44055,0.0000,0.3561,0.12795,0.12877,0.00000,0.0,1.0000,-26.7370,0.4733,-11.4441,190.834,ppo_car_spread_a_sampling
0.3600,-0.37998,0.0000,0.3561,0.00143,0.00760,0.00000,0.0,1.0000,-26.7368,0.4729,-11.4441,190.834,ppo_car_spread_a_sampling
0.3800,-0.31403,0.0000,0.3561,-0.00857,0.00868,0.37419,-74.8,1.0000,-26.7368,0.4727,-11.4439,190.838,ppo_car_spread_a_sampling
0.4000,-0.27791,0.5283,0.0000,-0.01794,0.01795,0.40261,-74.8,1.0000,-26.7367,0.4726,-11.4435,190.840,ppo_car_spread_a_sampling
0.4200,-0.16162,0.5283,0.0000,0.01784,0.01792,0.45514,277.4,1.0000,-26.7367,0.4725,-11.4439,190.836,ppo_car_spread_a_sampling
0.4400,-0.16162,0.5283,0.0000,0.07595,0.07601,0.15746,277.4,1.0000,-26.7370,0.4725,-11.4454,190.832,ppo_car_spread_a_sampling
0.4600,-0.16162,0.5283,0.0000,0.12953,0.12962,0.36825,277.4,1.0000,-26.7374,0.4726,-11.4481,190.826,ppo_car_spread_a_sampling
0.4800,-0.08166,0.0000,0.1133,0.17368,0.17379,0.52708,277.4,1.0000,-26.7379,0.4727,-11.4516,190.821,ppo_car_spread_a_sampling
0.5000,-0.02918,0.0000,0.1133,0.18821,0.18827,0.00000,0.0,1.0000,-26.7386,0.4728,-11.4554,190.814,ppo_car_spread_a_sampling
0.5200,0.05310,0.0000,0.1133,0.00494,0.00540,0.00000,0.0,1.0000,-26.7385,0.4730,-11.4554,190.815,ppo_car_spread_a_sampling
0.5400,0.10700,0.0000,0.1133,0.00682,0.00686,0.35754,-23.8,1.0000,-26.7385,0.4731,-11.4554,190.812,ppo_car_spread_a_sampling
0.5600,0.04965,0.0000,0.3636,0.00002,0.00038,0.28931,-23.8,1.0000,-26.7385,0.4733,-11.4553,190.812,ppo_car_spread_a_sampling
0.5800,-0.03476,0.0000,0.3636,-0.02026,0.02026,0.40707,-76.4,1.0000,-26.7384,0.4734,-11.4548,190.814,ppo_car_spread_a_sampling
0.6000,-0.11015,0.0000,0.3636,-0.02806,0.02806,0.40300,-76.4,1.0000,-26.7383,0.4736,-11.4542,190.815,ppo_car_spread_a_sampling
0.6200,-0.18846,0.0000,0.3636,-0.04400,0.04401,0.24364,-76.4,1.0000,-26.7382,0.4737,-11.4533,190.817,ppo_car_spread_a_sampling
